Region,Exposure Category,WRI Category,Vulnerability Category,Susceptibility Category,Region for Exposure,Very High Exposure Category,Region Vulnerability,Very High Vulnerability Category,Region Susceptibility,Very High Susceptibility Category
Gambia,High,Very High,Very High,High,Honduras,Very High,Sudan,Very High,Sudan,Very High
Jamaika,Very High,Very High,Medium,Medium,Indonesien,Very High,Mauretanien,Very High,Afghanistan,Very High
Tschad,High,Very High,Very High,Very High,Vietnam,Very High,Afghanistan,Very High,Äthiopien,Very High
Benin,High,Very High,Very High,Very High,Japan,Very High,Äthiopien,Very High,Sambia,Very High
Dominikanische Republik,Very High,Very High,Medium,Medium,Mauritius,Very High,Sambia,Very High,Zentralafrikanische Republik,Very High
Chile,Very High,Very High,Low,Low,Trinidad und Tobago,Very High,Zentralafrikanische Republik,Very High,São Tomé and Príncipe,Very High
Honduras,Very High,Very High,High,High,Albanien,Very High,Eritrea,Very High,,
Burkina Faso,High,Very High,Very High,Very High,Niederlande,Very High,Kongo,Very High,,
Togo,High,Very High,Very High,Very High,Griechenland,Very High,Jemen,Very High,,
Mali,High,High,Very High,Very High,,,,,,
Indonesien,Very High,High,High,Medium,,,,,,
Madagaskar,High,High,Very High,Very High,,,,,,
Burundi,High,High,Very High,Very High,,,,,,
Kenia,High,High,Very High,Very High,,,,,,
Angola,High,High,Very High,Very High,,,,,,
Vietnam,Very High,High,Medium,Medium,,,,,,
Elfenbeinküste,High,High,Very High,Very High,,,,,,
Senegal,High,High,High,High,,,,,,
Japan,Very High,High,Very Low,Low,,,,,,
Sierra Leone,Medium,High,Very High,Very High,,,,,,
Ghana,High,High,High,High,,,,,,
Simbabwe,Medium,High,Very High,Very High,,,,,,
Mosambik,Medium,High,Very High,Very High,,,,,,
Mauritius,Very High,High,Low,Low,,,,,,
Tansania,Medium,High,Very High,Very High,,,,,,
Malawi,Medium,High,Very High,Very High,,,,,,
Liberia,Medium,High,Very High,Very High,,,,,,
Ecuador,High,High,Medium,Medium,,,,,,
Demokratische Rep. Kongo,Low,High,Very High,Very High,,,,,,
Trinidad und Tobago,Very High,High,Low,Low,,,,,,
Guinea,Medium,High,Very High,Very High,,,,,,
Uganda,Medium,High,Very High,Very High,,,,,,
Sudan,Medium,High,Very High,Very High,,,,,,
Albanien,Very High,High,Low,Low,,,,,,
Mauretanien,Medium,High,Very High,High,,,,,,
Afghanistan,Medium,High,Very High,Very High,,,,,,
Belize,High,High,Medium,High,,,,,,
Venezuela,High,High,High,Medium,,,,,,
Niederlande,Very High,High,Very Low,Very Low,,,,,,
Äthiopien,Low,High,Very High,Very High,,,,,,
Usbekistan,High,High,High,High,,,,,,
Eswatini,Medium,High,High,High,,,,,,
Panama,High,High,Medium,Medium,,,,,,
Malaysia,High,High,Low,Low,,,,,,
Sambia,Medium,High,Very High,Very High,,,,,,
Algerien,High,Medium,Medium,Medium,,,,,,
Zentralafrikanische Republik,Low,Medium,Very High,Very High,,,,,,
Sri Lanka,High,Medium,Medium,Medium,,,,,,
Ruanda,Medium,Medium,High,Very High,,,,,,
Surinam,High,Medium,High,High,,,,,,
Äquatorialguinea,Medium,Medium,High,High,,,,,,
Kirgisistan,High,Medium,Medium,Medium,,,,,,
Myanmar,Medium,Medium,High,High,,,,,,
Föd. Staaten von Mikronesien,Medium,Medium,High,High,,,,,,
Griechenland,Very High,Medium,Very Low,Low,,,,,,
Eritrea,Low,Medium,Very High,Very High,,,,,,
Kongo,Low,Medium,Very High,Very High,,,,,,
Pakistan,Low,Medium,High,High,,,,,,
Montenegro,High,Medium,Low,Low,,,,,,
Peru,Medium,High,Medium,Medium,,,,,,
Kolumbien,Medium,Medium,Medium,Medium,,,,,,
Lesotho,Low,Medium,High,High,,,,,,
Indien,Medium,Medium,High,High,,,,,,
Gabun,Medium,Medium,High,High,,,,,,
Thailand,Medium,Medium,Medium,Low,,,,,,
Südafrika,Medium,Medium,Medium,High,,,,,,
Mexiko,Medium,Medium,Medium,Low,,,,,,
China,Medium,Medium,Low,Medium,,,,,,
Namibia,Medium,Medium,High,High,,,,,,
Tunesien,Medium,Medium,Medium,Low,,,,,,
Turkmenistan,Medium,Medium,Medium,Medium,,,,,,
Tadschikistan,Medium,Medium,Medium,High,,,,,,
Nordmazedonien,Medium,Medium,Low,Low,,,,,,
Marokko,Medium,Medium,Medium,Medium,,,,,,
Aserbaidschan,Medium,Medium,Low,Low,,,,,,
Syrien,Medium,Medium,High,Medium,,,,,,
Irak,Low,Medium,High,Medium,,,,,,
Kuba,High,Medium,Low,Low,,,,,,
Jemen,Very Low,Medium,Very High,High,,,,,,
Rumänien,High,Medium,Low,Low,,,,,,
Georgien,High,Medium,Low,Medium,,,,,,
Samoa,Low,Low,Medium,Medium,,,,,,
Libanon,Low,Low,Medium,Low,,,,,,
Serbien,Medium,Low,Low,Medium,,,,,,
Armenien,Medium,Low,Low,Low,,,,,,
Türkei,Medium,Low,Low,Low,,,,,,
Ungarn,High,Low,Very Low,Very Low,,,,,,
Iran,Low,Low,Medium,Medium,,,,,,
Brasilien,Low,Low,Medium,Medium,,,,,,
Neuseeland,High,Low,Very Low,Very Low,,,,,,
Seychellen,Low,Low,Low,Low,,,,,,
Italien,Low,Low,Very Low,Low,,,,,,
Bolivien,Low,Low,High,High,,,,,,
Bosnien und Herzegowina,Low,Low,Medium,Low,,,,,,
Nepal,Very Low,Low,High,High,,,,,,
Australien,High,Low,Very Low,Very Low,,,,,,
St. Lucia,Low,Low,Medium,Medium,,,,,,
Irland,High,Low,Very Low,Very Low,,,,,,
Laos,Very Low,Low,High,High,,,,,,
Kuwait,Low,Low,Low,Very Low,,,,,,
Bahamas,Low,Low,Low,Low,,,,,,
Kroatien,Low,Low,Low,Low,,,,,,
Bulgarien,Low,Low,Low,Low,,,,,,
Jordanien,Very Low,Low,Medium,Medium,,,,,,
Moldawien,Low,Low,Low,Low,,,,,,
Ver. Staaten von Amerika,Medium,Low,Very Low,Very Low,,,,,,
Botswana,Very Low,Low,Medium,High,,,,,,
Spanien,Low,Low,Very Low,Very Low,,,,,,
Paraguay,Very Low,Low,Medium,Medium,,,,,,
Russische Föderation,Very Low,Low,Low,Low,,,,,,
Portugal,Low,Low,Very Low,Very Low,,,,,,
Argentinien,Low,Low,Low,Low,,,,,,
Vereinigtes Königreich,Medium,Low,Very Low,Very Low,,,,,,
Kasachstan,Very Low,Low,Low,Low,,,,,,
Libyen,Very Low,Low,Medium,Medium,,,,,,
Slowenien,Low,Low,Very Low,Very Low,,,,,,
Slowakei,Low,Low,Very Low,Very Low,,,,,,
Bhutan,Very Low,Very Low,Medium,Medium,,,,,,
Zypern,Very Low,Very Low,Low,Very Low,,,,,,
Vereinigte Arabische Emirate,Low,Very Low,Very Low,Very Low,,,,,,
Südkorea,Low,Very Low,Very Low,Very Low,,,,,,
Polen,Very Low,Very Low,Very Low,Very Low,,,,,,
Österreich,Medium,Very Low,Very Low,Very Low,,,,,,
Tschechische Republik,Low,Very Low,Very Low,Very Low,,,,,,
Lettland,Very Low,Very Low,Very Low,Low,,,,,,
Mongolei,Very Low,Very Low,Medium,High,,,,,,
Bahrain,Very Low,Very Low,Low,Very Low,,,,,,
Norwegen,Low,Very Low,Very Low,Very Low,,,,,,
Kanada,Low,Very Low,Very Low,Very Low,,,,,,
Israel,Very Low,Very Low,Very Low,Low,,,,,,
Dänemark,Low,Very Low,Very Low,Very Low,,,,,,
Ukraine,Very Low,Very Low,Low,Low,,,,,,
Belgien,Low,Very Low,Very Low,Very Low,,,,,,
Deutschland,Low,Very Low,Very Low,Very Low,,,,,,
Belarus,Very Low,Very Low,Very Low,Very Low,,,,,,
São Tomé and Príncipe,Very Low,Very Low,High,Very High,,,,,,
Oman,Very Low,Very Low,Low,Medium,,,,,,
Luxemburg,Very Low,Very Low,Very Low,Very Low,,,,,,
Frankreich,Low,Very Low,Very Low,Very Low,,,,,,
Singapur,Very Low,Very Low,Very Low,Very Low,,,,,,
Schweden,Very Low,Very Low,Very Low,Very Low,,,,,,
Litauen,Very Low,Very Low,Very Low,Low,,,,,,
Schweiz,Very Low,Very Low,Very Low,Very Low,,,,,,
Finnland,Very Low,Very Low,Very Low,Very Low,,,,,,
Estland,Very Low,Very Low,Very Low,Very Low,,,,,,
Ägypten,Very Low,Very Low,High,Medium,,,,,,
Island,Very Low,Very Low,Very Low,Very Low,,,,,,
Malediven,Very Low,Very Low,Low,Very Low,,,,,,
Barbados,Very Low,Very Low,Low,Low,,,,,,
Grenada,Very Low,Very Low,Medium,Medium,,,,,,
Saudi-Arabien,Very Low,Very Low,Low,Very Low,,,,,,
St. Vincent u. die Grenadinen,Very Low,Very Low,Medium,Medium,,,,,,
Malta,Very Low,Very Low,Very Low,Very Low,,,,,,
Katar,Very Low,Very Low,Low,Very Low,,,,,,
